agent_name,proposed_kind,proposed_owner_domain,source,reason
CurriculumOptimizerAgent,retire,"Curriculum, Learning & Certification",registry,registered trigger_type=cron 0 6 * * * but no instrumentCronJob/aiOpsScheduler entry and source_file has 0 importers (crossRef.js importRefs); not in 2026-07-31 audit (backend/src/services/agentRegistrySeed.ts:1055); domain: name/category=curriculum
EducationReportingAgent,retire,"Curriculum, Learning & Certification",registry,"source exists but no cron call site, no aiOpsScheduler entry, 0 external importers of source_file (crossRef.js); backend/src/services/agentRegistryAuditClassification.ts:36 REPORTING_UNWIRED (backend/src/services/agentRegistrySeed.ts:1685); domain: name/category=curriculum"
ArtifactGenerationAgent,tool,"Curriculum, Learning & Certification",registry,"on_demand, no schedule, no identity; dispatched via workGraph/capabilityRegistry.ts:67 (backend/src/services/agentRegistrySeed.ts:1035); domain: name/category=curriculum"
CurriculumArchitectAgent,tool,"Curriculum, Learning & Certification",registry,"on_demand, no schedule, no identity; dispatched via workGraph/capabilityRegistry.ts:56 (backend/src/services/agentRegistrySeed.ts:1025); domain: name/category=curriculum"
CurriculumQAAgent,tool,"Curriculum, Learning & Certification",registry,"registered cron 0 */6 but never scheduled; only reached via ticket dispatch (capabilityRegistry.ts:78, ticketAgentDispatcher.ts:26) -> callable capability (backend/src/services/agentRegistrySeed.ts:1045); domain: name/category=curriculum"
AICOOStrategicCycle,behavior,Executive Intelligence & Governance,registry,"cron 0,30 * * * * wired at backend/src/services/aiOpsScheduler.ts:193 (backend/src/services/agentRegistrySeed.ts:1127); domain: category=executive"
ActionPlannerAgent,behavior,Executive Intelligence & Governance,registry,"internal step of AutonomousEngine loop, not independently scheduled/callable (backend/src/services/agentRegistryAuditClassification.ts; source_file importers=3) (backend/src/services/agentRegistrySeed.ts:519); domain: category=autonomous"
AlumniNetworkArchitect,behavior,Executive Intelligence & Governance,registry,cron 30 */6 * * * wired at backend/src/services/aiOpsScheduler.ts:303 (backend/src/services/agentRegistrySeed.ts:1971); has reports_to+tools_granted via ticketCreatorIdentitySeed.ts but no system_prompt/persona_version (employee-candidate); domain: category=dept_strategy
AnalyticsEngineSuperAgent,behavior,Executive Intelligence & Governance,registry,"cron 9,39 * * * * wired at backend/src/services/aiOpsScheduler.ts:328 (backend/src/services/agentRegistrySeed.ts:2123); domain: category=dept_super"
ArchitectureAgent,behavior,Executive Intelligence & Governance,registry,"internal step of MetaAgentLoop loop, not independently scheduled/callable (backend/src/services/agentRegistryAuditClassification.ts; source_file importers=2) (backend/src/services/agentRegistrySeed.ts:672); domain: category=meta"
AuditAgent,behavior,Executive Intelligence & Governance,registry,"internal step of AutonomousEngine loop, not independently scheduled/callable (backend/src/services/agentRegistryAuditClassification.ts; source_file importers=0) (backend/src/services/agentRegistrySeed.ts:569); domain: category=autonomous"
AutonomousEngine,behavior,Executive Intelligence & Governance,registry,"cron 5,15,25,35,45,55 * * * * wired at backend/src/services/aiOpsScheduler.ts:192 (backend/src/services/agentRegistrySeed.ts:1117); domain: category=executive"
AutonomousIngestInsights,behavior,Executive Intelligence & Governance,registry,cron 0 */6 * * * wired at backend/src/services/schedulerService.ts:3342 (backend/src/services/agentRegistrySeed.ts:179); domain: category=autonomous
AutonomousRequirementExpansion,behavior,Executive Intelligence & Governance,registry,"cron 3,18,33,48 * * * * wired at backend/src/services/aiOpsScheduler.ts:185 (backend/src/services/agentRegistrySeed.ts:2315); domain: category=autonomous"
ContentEngineSuperAgent,behavior,Executive Intelligence & Governance,registry,"cron 7,37 * * * * wired at backend/src/services/aiOpsScheduler.ts:327 (backend/src/services/agentRegistrySeed.ts:2113); domain: category=dept_super"
CoryEvolutionCycle,behavior,Executive Intelligence & Governance,registry,cron 20 */6 * * * wired at backend/src/services/aiOpsScheduler.ts:335 (backend/src/services/agentRegistrySeed.ts:2335); domain: category=executive
CostOptimizationAgent,behavior,Executive Intelligence & Governance,registry,"internal step of AICOOStrategicCycle loop, not independently scheduled/callable (backend/src/services/agentRegistryAuditClassification.ts; source_file importers=1) (backend/src/services/agentRegistrySeed.ts:600); domain: category=strategic"
DailyExecutiveBriefing,behavior,Executive Intelligence & Governance,registry,cron 45 6 * * * wired at backend/src/services/aiOpsScheduler.ts:366 (backend/src/services/agentRegistrySeed.ts:2345); domain: category=executive
ExecutionAgent,behavior,Executive Intelligence & Governance,registry,"internal step of AutonomousEngine loop, not independently scheduled/callable (backend/src/services/agentRegistryAuditClassification.ts; source_file importers=2) (backend/src/services/agentRegistrySeed.ts:549); domain: category=autonomous"
ExecutiveAwarenessEveningDigest,behavior,Executive Intelligence & Governance,registry,cron 0 18 * * * wired at backend/src/services/aiOpsScheduler.ts:395 (backend/src/services/agentRegistrySeed.ts:2365); domain: category=executive
ExecutiveStrategyArchitect,behavior,Executive Intelligence & Governance,registry,cron 0 */6 * * * wired at backend/src/services/aiOpsScheduler.ts:288 (backend/src/services/agentRegistrySeed.ts:1791); has reports_to+tools_granted via ticketCreatorIdentitySeed.ts but no system_prompt/persona_version (employee-candidate); domain: category=dept_strategy
ExperimentAgent,behavior,Executive Intelligence & Governance,registry,"internal step of MetaAgentLoop loop, not independently scheduled/callable (backend/src/services/agentRegistryAuditClassification.ts; source_file importers=2) (backend/src/services/agentRegistrySeed.ts:692); domain: category=meta"
FinanceIntelligenceArchitect,behavior,Executive Intelligence & Governance,registry,cron 6 */6 * * * wired at backend/src/services/aiOpsScheduler.ts:291 (backend/src/services/agentRegistrySeed.ts:1827); has reports_to+tools_granted via ticketCreatorIdentitySeed.ts but no system_prompt/persona_version (employee-candidate); domain: category=dept_strategy
FinanceSuperAgent,behavior,Executive Intelligence & Governance,registry,"cron 17,47 * * * * wired at backend/src/services/aiOpsScheduler.ts:332 (backend/src/services/agentRegistrySeed.ts:2163); domain: category=dept_super"
GovernanceAgent,behavior,Executive Intelligence & Governance,registry,"internal step of AICOOStrategicCycle loop, not independently scheduled/callable (backend/src/services/agentRegistryAuditClassification.ts; source_file importers=1) (backend/src/services/agentRegistrySeed.ts:620); domain: category=strategic"
GovernanceStrategyArchitect,behavior,Executive Intelligence & Governance,registry,cron 2 */6 * * * wired at backend/src/services/aiOpsScheduler.ts:289 (backend/src/services/agentRegistrySeed.ts:1803); has reports_to+tools_granted via ticketCreatorIdentitySeed.ts but no system_prompt/persona_version (employee-candidate); domain: category=dept_strategy
GrowthExperimentAgent,behavior,Executive Intelligence & Governance,registry,"internal step of AICOOStrategicCycle loop, not independently scheduled/callable (backend/src/services/agentRegistryAuditClassification.ts; source_file importers=2) (backend/src/services/agentRegistrySeed.ts:610); domain: category=strategic"
GrowthExperimentArchitect,behavior,Executive Intelligence & Governance,registry,cron 16 */6 * * * wired at backend/src/services/aiOpsScheduler.ts:296 (backend/src/services/agentRegistrySeed.ts:1887); has reports_to+tools_granted via ticketCreatorIdentitySeed.ts but no system_prompt/persona_version (employee-candidate); domain: category=dept_strategy
ImpactEstimatorAgent,behavior,Executive Intelligence & Governance,registry,"internal step of AutonomousEngine loop, not independently scheduled/callable (backend/src/services/agentRegistryAuditClassification.ts; source_file importers=2) (backend/src/services/agentRegistrySeed.ts:529); domain: category=autonomous"
InsightArchitect,behavior,Executive Intelligence & Governance,registry,cron 12 */6 * * * wired at backend/src/services/aiOpsScheduler.ts:294 (backend/src/services/agentRegistrySeed.ts:1863); has reports_to+tools_granted via ticketCreatorIdentitySeed.ts but no system_prompt/persona_version (employee-candidate); domain: category=dept_strategy
IntelligenceRetentionCycle,behavior,Executive Intelligence & Governance,registry,cron 15 3 * * * wired at backend/src/services/aiOpsScheduler.ts:459 (backend/src/services/agentRegistrySeed.ts:2415); domain: category=memory
KnowledgeGraphAgent,behavior,Executive Intelligence & Governance,registry,"internal step of memory loop, not independently scheduled/callable (backend/src/services/agentRegistryAuditClassification.ts; source_file importers=4) (backend/src/services/agentRegistrySeed.ts:641); domain: category=memory"
LeadIntelligenceSuperAgent,behavior,Executive Intelligence & Governance,registry,"cron 5,35 * * * * wired at backend/src/services/aiOpsScheduler.ts:326 (backend/src/services/agentRegistrySeed.ts:2103); domain: category=dept_super"
LearningAgent,behavior,Executive Intelligence & Governance,registry,"internal step of memory loop, not independently scheduled/callable (backend/src/services/agentRegistryAuditClassification.ts; source_file importers=3) (backend/src/services/agentRegistrySeed.ts:651); domain: category=memory"
MemoryAgent,behavior,Executive Intelligence & Governance,registry,"internal step of memory loop, not independently scheduled/callable (backend/src/services/agentRegistryAuditClassification.ts; source_file importers=12) (backend/src/services/agentRegistrySeed.ts:631); domain: category=memory"
MetaAgentLoop,behavior,Executive Intelligence & Governance,registry,cron 2 * * * * wired at backend/src/services/aiOpsScheduler.ts:202 (backend/src/services/agentRegistrySeed.ts:1137); domain: category=executive
MonitorAgent,behavior,Executive Intelligence & Governance,registry,"internal step of AutonomousEngine loop, not independently scheduled/callable (backend/src/services/agentRegistryAuditClassification.ts; source_file importers=0) (backend/src/services/agentRegistrySeed.ts:559); domain: category=autonomous"
OperationsOptimizationArchitect,behavior,Executive Intelligence & Governance,registry,cron 8 */6 * * * wired at backend/src/services/aiOpsScheduler.ts:292 (backend/src/services/agentRegistrySeed.ts:1839); has reports_to+tools_granted via ticketCreatorIdentitySeed.ts but no system_prompt/persona_version (employee-candidate); domain: category=dept_strategy
PartnershipExpansionArchitect,behavior,Executive Intelligence & Governance,registry,cron 14 */6 * * * wired at backend/src/services/aiOpsScheduler.ts:295 (backend/src/services/agentRegistrySeed.ts:1875); has reports_to+tools_granted via ticketCreatorIdentitySeed.ts but no system_prompt/persona_version (employee-candidate); domain: category=dept_strategy
PartnershipSuperAgent,behavior,Executive Intelligence & Governance,registry,"cron 15,45 * * * * wired at backend/src/services/aiOpsScheduler.ts:331 (backend/src/services/agentRegistrySeed.ts:2153); domain: category=dept_super"
ProblemDiscoveryAgent,behavior,Executive Intelligence & Governance,registry,"internal step of AutonomousEngine loop, not independently scheduled/callable (backend/src/services/agentRegistryAuditClassification.ts; source_file importers=4) (backend/src/services/agentRegistrySeed.ts:499); domain: category=autonomous"
RevenueOptimizationAgent,behavior,Executive Intelligence & Governance,registry,"internal step of AICOOStrategicCycle loop, not independently scheduled/callable (backend/src/services/agentRegistryAuditClassification.ts; source_file importers=1) (backend/src/services/agentRegistrySeed.ts:590); domain: category=strategic"
RiskEvaluatorAgent,behavior,Executive Intelligence & Governance,registry,"internal step of AutonomousEngine loop, not independently scheduled/callable (backend/src/services/agentRegistryAuditClassification.ts; source_file importers=1) (backend/src/services/agentRegistrySeed.ts:539); domain: category=autonomous"
RootCauseAgent,behavior,Executive Intelligence & Governance,registry,"internal step of AutonomousEngine loop, not independently scheduled/callable (backend/src/services/agentRegistryAuditClassification.ts; source_file importers=3) (backend/src/services/agentRegistrySeed.ts:509); domain: category=autonomous"
StrategicIntelligenceAgent,behavior,Executive Intelligence & Governance,registry,"internal step of AICOOStrategicCycle loop, not independently scheduled/callable (backend/src/services/agentRegistryAuditClassification.ts; source_file importers=1) (backend/src/services/agentRegistrySeed.ts:580); domain: category=strategic"
StrategicMetricCapture,behavior,Executive Intelligence & Governance,registry,cron */15 * * * * wired at backend/src/services/aiOpsScheduler.ts:404 (backend/src/services/agentRegistrySeed.ts:2375); domain: category=strategic
StrategicRecommendationCycle,behavior,Executive Intelligence & Governance,registry,"cron 10,40 * * * * wired at backend/src/services/aiOpsScheduler.ts:422 (backend/src/services/agentRegistrySeed.ts:2395); domain: category=strategic"
StrategicTrendAnalysis,behavior,Executive Intelligence & Governance,registry,"cron 5,35 * * * * wired at backend/src/services/aiOpsScheduler.ts:413 (backend/src/services/agentRegistrySeed.ts:2385); domain: category=strategic"
StrategyFuturesArchitect,behavior,Executive Intelligence & Governance,registry,cron 4 */6 * * * wired at backend/src/services/aiOpsScheduler.ts:290 (backend/src/services/agentRegistrySeed.ts:1815); has reports_to+tools_granted via ticketCreatorIdentitySeed.ts but no system_prompt/persona_version (employee-candidate); domain: category=dept_strategy
WeeklyReport,behavior,Executive Intelligence & Governance,production_only,production row (2026-04-26) with no AGENT_REGISTRY entry; run by aiOpsScheduler.ts; weeklyReportAgent.ts emails via Mandrill
WeeklyStrategicBriefing,behavior,Executive Intelligence & Governance,registry,cron 45 6 * * 1 wired at backend/src/services/aiOpsScheduler.ts:381 (backend/src/services/agentRegistrySeed.ts:2355); domain: category=executive
WorkforceCommunityDirector,behavior,Executive Intelligence & Governance,registry,cron 50 6 * * * wired at backend/src/services/aiOpsScheduler.ts:347 (backend/src/services/agentRegistrySeed.ts:2268); domain: category=workforce_director
WorkforceFinanceDirector,behavior,Executive Intelligence & Governance,registry,cron 40 6 * * * wired at backend/src/services/aiOpsScheduler.ts:345 (backend/src/services/agentRegistrySeed.ts:2246); domain: category=workforce_director
WorkforceIntelligence,behavior,Executive Intelligence & Governance,production_only,production row (2026-04-24) with no AGENT_REGISTRY entry; run by aiOpsScheduler.ts
WorkforceOperationsDirector,behavior,Executive Intelligence & Governance,registry,cron */15 * * * * wired at backend/src/services/aiOpsScheduler.ts:346 (backend/src/services/agentRegistrySeed.ts:2257); domain: category=workforce_director
WorkforceResearchDirector,behavior,Executive Intelligence & Governance,registry,cron 0 7 * * 0 wired at backend/src/services/aiOpsScheduler.ts:349 (backend/src/services/agentRegistrySeed.ts:2290); domain: category=workforce_director
Executive_Briefing_Agent,duplicate,Executive Intelligence & Governance,registry,"same source_file executiveBriefingService.ts as DailyExecutiveBriefing (backend/src/services/agentRegistrySeed.ts:2345, scheduled at aiOpsScheduler.ts:366); this row has no cron call site and zero literal mentions outside the registry (backend/src/services/agentRegistrySeed.ts:1107); domain: category=executive"
cory-engine,duplicate,Executive Intelligence & Governance,registry,identity row sharing source_file intelligence/autonomy/autonomousEngine.ts with cron row AutonomousEngine (backend/src/services/agentRegistrySeed.ts:1117); two ai_agents rows for one code path (backend/src/services/agentRegistrySeed.ts:2594); carries reports_to+tools_granted but no system_prompt/persona_version; domain: category=executive
AgentPerformanceAnalyticsAgent,retire,Executive Intelligence & Governance,registry,"source exists but no cron call site, no aiOpsScheduler entry, 0 external importers of source_file (crossRef.js); backend/src/services/agentRegistryAuditClassification.ts:36 REPORTING_UNWIRED (backend/src/services/agentRegistrySeed.ts:1770); domain: category=reporting"
AlumniReportingAgent,retire,Executive Intelligence & Governance,registry,"source exists but no cron call site, no aiOpsScheduler entry, 0 external importers of source_file (crossRef.js); backend/src/services/agentRegistryAuditClassification.ts:36 REPORTING_UNWIRED (backend/src/services/agentRegistrySeed.ts:1718); domain: category=reporting"
Approval_Agent,retire,Executive Intelligence & Governance,registry,source_file backend/src/services/agents/governance/approvalAgent.ts does not exist on disk and has no git history; backend/src/services/agentRegistryAuditClassification.ts:23 NO_SOURCE_FILE (confirmed_dead) (backend/src/services/agentRegistrySeed.ts:1363); domain: category=governance_ops
CompanyStrategicCycle,retire,Executive Intelligence & Governance,production_only,"production row (2026-04-24), enabled=false, no registry entry, no prompt, no reports_to"
ExecutiveBriefingReportingAgent,retire,Executive Intelligence & Governance,registry,"source exists but no cron call site, no aiOpsScheduler entry, 0 external importers of source_file (crossRef.js); backend/src/services/agentRegistryAuditClassification.ts:36 REPORTING_UNWIRED (backend/src/services/agentRegistrySeed.ts:1740); domain: category=reporting"
ExperimentRecommendationAgent,retire,Executive Intelligence & Governance,registry,"source exists but no cron call site, no aiOpsScheduler entry, 0 external importers of source_file (crossRef.js); backend/src/services/agentRegistryAuditClassification.ts:36 REPORTING_UNWIRED (backend/src/services/agentRegistrySeed.ts:1750); domain: category=reporting"
Human_Learning_Strategy_Agent,retire,Executive Intelligence & Governance,registry,source_file backend/src/intelligence/agents/humanLearningStrategyAgent.ts does not exist on disk and has no git history; backend/src/services/agentRegistryAuditClassification.ts:23 NO_SOURCE_FILE (confirmed_dead) (backend/src/services/agentRegistrySeed.ts:1159); domain: category=strategic
InsightDiscoveryAgent,retire,Executive Intelligence & Governance,registry,"source exists but no cron call site, no aiOpsScheduler entry, 0 external importers of source_file (crossRef.js); backend/src/services/agentRegistryAuditClassification.ts:36 REPORTING_UNWIRED (backend/src/services/agentRegistrySeed.ts:1623); domain: category=reporting"
KnowledgeGraphBuilderAgent,retire,Executive Intelligence & Governance,registry,"source exists but no cron call site, no aiOpsScheduler entry, 0 external importers of source_file (crossRef.js); backend/src/services/agentRegistryAuditClassification.ts:36 REPORTING_UNWIRED (backend/src/services/agentRegistrySeed.ts:1603); domain: category=reporting"
Organization_Health_Agent,retire,Executive Intelligence & Governance,registry,source_file backend/src/intelligence/agents/organizationHealthAgent.ts does not exist on disk and has no git history; backend/src/services/agentRegistryAuditClassification.ts:23 NO_SOURCE_FILE (confirmed_dead) (backend/src/services/agentRegistrySeed.ts:1097); domain: category=executive
PartnershipsReportingAgent,retire,Executive Intelligence & Governance,registry,"source exists but no cron call site, no aiOpsScheduler entry, 0 external importers of source_file (crossRef.js); backend/src/services/agentRegistryAuditClassification.ts:36 REPORTING_UNWIRED (backend/src/services/agentRegistrySeed.ts:1729); domain: category=reporting"
Policy_Agent,retire,Executive Intelligence & Governance,registry,source_file backend/src/services/agents/governance/policyAgent.ts does not exist on disk and has no git history; backend/src/services/agentRegistryAuditClassification.ts:23 NO_SOURCE_FILE (confirmed_dead) (backend/src/services/agentRegistrySeed.ts:1343); domain: category=governance_ops
Product_Strategy_Agent,retire,Executive Intelligence & Governance,registry,source_file backend/src/intelligence/agents/productStrategyAgent.ts does not exist on disk and has no git history; backend/src/services/agentRegistryAuditClassification.ts:23 NO_SOURCE_FILE (confirmed_dead) (backend/src/services/agentRegistrySeed.ts:1149); domain: category=strategic
Program_Evolution_Agent,retire,Executive Intelligence & Governance,registry,source_file backend/src/intelligence/agents/programEvolutionAgent.ts does not exist on disk and has no git history; backend/src/services/agentRegistryAuditClassification.ts:23 NO_SOURCE_FILE (confirmed_dead) (backend/src/services/agentRegistrySeed.ts:1169); domain: category=strategic
ReportingIntelligenceAgent,retire,Executive Intelligence & Governance,registry,"source exists but no cron call site, no aiOpsScheduler entry, 0 external importers of source_file (crossRef.js); backend/src/services/agentRegistryAuditClassification.ts:36 REPORTING_UNWIRED (backend/src/services/agentRegistrySeed.ts:1613); domain: category=reporting"
RevenueOpportunityAgent,retire,Executive Intelligence & Governance,registry,"source exists but no cron call site, no aiOpsScheduler entry, 0 external importers of source_file (crossRef.js); backend/src/services/agentRegistryAuditClassification.ts:36 REPORTING_UNWIRED (backend/src/services/agentRegistrySeed.ts:1760); domain: category=reporting"
Risk_Agent,retire,Executive Intelligence & Governance,registry,source_file backend/src/services/agents/governance/riskAgent.ts does not exist on disk and has no git history; backend/src/services/agentRegistryAuditClassification.ts:23 NO_SOURCE_FILE (confirmed_dead) (backend/src/services/agentRegistrySeed.ts:1353); domain: category=governance_ops
TrendAnalysisAgent,retire,Executive Intelligence & Governance,registry,"source exists but no cron call site, no aiOpsScheduler entry, 0 external importers of source_file (crossRef.js); backend/src/services/agentRegistryAuditClassification.ts:36 REPORTING_UNWIRED (backend/src/services/agentRegistrySeed.ts:1653); domain: category=reporting"
CoryStrategicAgent,tool,Executive Intelligence & Governance,registry,"on_demand, no schedule, no identity; invoked from intelligence/strategy/coryEngine.ts (backend/src/services/agentRegistrySeed.ts:1015); domain: category=executive"
